X1190003J15Rik,Adh1,Akr1c6,Apob,Atp5b,Azgp1,Cbr3,COX3,Cyp2c67,Cyp2c68,Cyp2d10,Cyp2d11,Cyp3a11,Dgat2,Atg7KO,F10,Fmo3,Gabarapl1,Gm13202,Gm13637,Gm5265,Gm6222,Gstm1,Gstm2,Hamp2,Hsd11b1,Inmt,Ly6d,Mat1a,Mt1,Mt2,Mt3,Mt4,ND2,Ndor1,Pah,Por,Rgn,Scp2,Serpina1d,Slc27a5,Slc30a5,Slc39a1,Slc39a11,Slc39a14,Slc39a2,Slc39a3,Slc39a4,Slc39a5,Slc39a6,Slc39a9,Slpi,St3gal5,Taldo1,Thrsp,Ttr,Uox
No Change,No Change,High,No Change,No Change,High,No Change,No Change,No Change,No Change,High,High,High,No Change,Atg7WT,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,High,High,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,High,High,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,Low,No Change,No Change,Low,No Change,No Change,No Change
No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,High,No Change,No Change,No Change,High,Atg7WT,No Change,High,High,No Change,No Change,No Change,No Change,No Change,No Change,High,No Change,No Change,No Change,No Change,No Change,No Change,High,High,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,High,High,No Change,High,Low,High,No Change,No Change,No Change,No Change,No Change,No Change
High,No Change,No Change,High,High,No Change,No Change,High,High,No Change,High,High,High,No Change,Atg7WT,High,High,No Change,High,High,High,High,Low,No Change,No Change,No Change,No Change,No Change,High,High,High,High,No Change,High,High,No Change,High,No Change,High,No Change,High,High,High,No Change,High,No Change,No Change,No Change,Low,High,High,No Change,High,No Change,High,No Change,No Change
No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,Atg7KO,No Change,No Change,No Change,No Change,Low,No Change,Low,High,No Change,No Change,No Change,No Change,No Change,No Change,Low,No Change,No Change,Low,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,High,No Change,No Change,No Change,Low,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change
No Change,Low,Low,Low,No Change,Low,High,Low,No Change,No Change,Low,Low,No Change,No Change,Atg7KO,Low,No Change,No Change,Low,No Change,No Change,No Change,No Change,High,No Change,Low,Low,High,No Change,No Change,No Change,No Change,No Change,No Change,Low,Low,No Change,Low,No Change,Low,No Change,Low,Low,High,No Change,No Change,No Change,High,No Change,No Change,Low,High,No Change,High,No Change,Low,Low
No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,Atg7KO,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,Low,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change
